"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"2";"";"CPOL-USB/3528-21R";"B/3528-21R";"C9, C12";"POLARIZED CAPACITOR, American symbol";"";
"1";"";"CPOL-USD/7343-31R";"D/7343-31R";"C20";"POLARIZED CAPACITOR, American symbol";"";
"1";"";"DIODE_SOD-123FL";"SOD-123FL";"D2";"Diode";"";
"2";"0154.160DR";"0154.160DR";"0154007.DR";"F1, F8";"https://www.mouser.co.cr/ProductDetail/Littelfuse/0154160DR/?qs=gu7KAQ731UR1pT%2F7VWoX3A%3D%3D  Check availability";"";
"1";"100R";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"";
"3";"100k";"R-US_R0603";"R0603";"R12, R37, R65";"RESISTOR, American symbol";"";
"11";"100nF";"C-EUC0603";"C0603";"C8, C10, C11, C24, C28, C29, C30, C34, C36, C37, C38";"CAPACITOR, European symbol";"";
"2";"1048P";"1048P";"BAT_1048P";"BT1, BT2";"Check availability";"";
"2";"10k";"R-EU_R0603";"R0603";"R48, R50";"RESISTOR, European symbol";"";
"8";"10uF";"C-EUC0603";"C0603";"C2, C5, C32, C33, C35, C39, C40, C42";"CAPACITOR, European symbol";"";
"2";"10uF";"C-EUC0805";"C0805";"C6, C7";"CAPACITOR, European symbol";"";
"1";"120R";"R-US_R0603";"R0603";"R40";"RESISTOR, American symbol";"";
"1";"120k";"R-US_R0603";"R0603";"R19";"RESISTOR, American symbol";"";
"1";"150k";"R-US_R0603";"R0603";"R22";"RESISTOR, American symbol";"";
"1";"180k";"R-US_R0603";"R0603";"R27";"RESISTOR, American symbol";"";
"4";"1k";"R-EU_R0603";"R0603";"R47, R49, R53, R54";"RESISTOR, European symbol";"";
"7";"1k";"R-US_R0603";"R0603";"R2, R5, R13, R35, R44, R45, R46";"RESISTOR, American symbol";"";
"2";"1uF";"C-EUC0603";"C0603";"C3, C41";"CAPACITOR, European symbol";"";
"2";"1uF";"C-EUC0805";"C0805";"C4, C23";"CAPACITOR, European symbol";"";
"1";"20k";"R-US_R0603";"R0603";"R41";"RESISTOR, American symbol";"";
"1";"2171820001";"2171820001";"MOLEX_2171820001";"J10";"Check availability";"";
"2";"3.3V";"V_REG_AP2112K-3.3V";"SOT23-5";"U7, U9";"AP2112 - 600mA CMOS LDO Regulator w/ Enable";"";
"1";"30k";"R-US_R0603";"R0603";"R4";"RESISTOR, American symbol";"";
"1";"30pF";"C-EUC0603";"C0603";"C1";"CAPACITOR, European symbol";"";
"1";"330k";"R-US_R0603";"R0603";"R34";"RESISTOR, American symbol";"";
"2";"4-1437652-0";"4-1437652-0";"TE_4-1437652-0";"J1, J9";"Check availability";"";
"1";"470R";"R-EU_R0603";"R0603";"R55";"RESISTOR, European symbol";"";
"5";"47K";"R-EU_R0603";"R0603";"R30, R32, R33, R38, R39";"RESISTOR, European symbol";"";
"1";"47k";"R-US_R0603";"R0603";"R18";"RESISTOR, American symbol";"";
"3";"4k7";"R-US_R0603";"R0603";"R42, R43, R56";"RESISTOR, American symbol";"";
"1";"4x4 4,7uH";"SWPA4018S330MT";"SMD_4X4X1.8MM";"U$3";"Check availability";"";
"1";"50mR";"R-US_R2512";"R2512";"R36";"RESISTOR, American symbol";"";
"1";"510k";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";
"1";"5K1";"R-EU_R0603";"R0603";"R51";"RESISTOR, European symbol";"";
"1";"6-1437652-8";"6-1437652-8";"TE_6-1437652-8";"J8";"Check availability";"";
"1";"693071020811";"693071020811";"693071020811";"MICROSD";"WR-CRD Micro SD Card Connector Push & Push 8 pins";"";
"2";"6V/0.75A";"PPTC_0.75A";"1206";"F3, F4";"Resettable Fuse PPTC";"";
"2";"6V/2A";"PPTC_6V2A";"1210";"F5, F7";"Resettable Fuse PPTC";"";
"1";"91k";"R-US_R0603";"R0603";"R31";"RESISTOR, American symbol";"";
"1";"AO3400-5.8A";"AO3400-5.8A";"SOT95P260X140-3N";"Q5";"";"";
"2";"AO3401";"PMOSFET_SOT23";"SOT23";"Q3, Q13";"P-Channel MOSFET - Generic";"";
"1";"BLUE";"LEDCHIP-LED0603";"CHIP-LED0603";"RX_RS485";"LED";"";
